Nombre del Indicador: Valor Agregado Bruto
Definición: Es el valor de venta de bienes y servicios producidos descontados los costos de productos intermedios utilizados para su producción
Unidad de medida: $
Fuente de datos: Banco Central Ecuador
Año,Ibarra,Quito,Cuenca,Guayaquil
2007,481910.98,10380823.48,2104755.15,9033531.69
2008,548421.06,12435409.74,2380588.53,10873541.79
2009,631105.31,12914790.94,2568795.34,11448945.83
2010,756355.68,14783870.43,2866222.84,12755742.93
2011,884705.79,16511524.16,3209898.22,14438086.44
2012,1006238.25,18825175.95,3428369.89,16294374.32
2013,1020000.5,20940259.69,3728340.49,18276195.97
2014,1150801.49,23842159.69,3949724.99,20019246.55
2015,1131924.31,23228352.03,4172770.46,19646477.75
2016,1059524.78,23593664.01,4190825.65,20289621.51
2017,1116066.04,24426597.91,4392835.9,20554798.45
2018,1184018.15,24572228.65,4733506.72,21082271.57
